time,heterotypic_voronoi_length,heterotypic_connections
0.0,11.840913415312945,19.0
10.0,11.800651656957376,19.0
20.0,11.893287826250761,19.0
30.0,12.003795731125123,19.0
40.0,12.016096027904107,19.0
50.0,12.125289804690803,19.0
60.0,12.241783541996186,19.0
70.0,12.337978478626779,19.0
80.0,12.3787654925838,19.0
90.0,12.431867285851723,19.0
100.0,12.42739092588841,19.0
110.0,12.453140364620966,19.0
120.0,12.427262525671361,19.0
130.0,12.488429896598516,19.0
140.0,12.484925690917006,19.0
150.0,12.458730859374963,19.0
160.0,12.492545733359467,19.0
170.0,12.465215951707783,19.0
180.0,12.494136615540071,19.0
190.0,12.547419899859742,19.0
200.0,12.543905354778552,19.0
210.0,12.484010536797651,19.0
220.0,12.487476121595916,19.0
230.0,12.506285395017988,19.0
240.0,12.574117510285813,19.0
250.0,12.522598013113377,19.0
260.0,12.580321393238256,19.0
270.0,12.585186227866457,19.0
280.0,12.57865557295263,19.0
290.0,12.470094832579372,19.0
300.0,12.537354644772295,19.0
310.0,12.561137662370706,19.0
320.0,12.556157391089192,19.0
330.0,12.567813431310373,19.0
340.0,12.621339790244333,19.0
350.0,12.630948224519834,19.0
360.0,12.6037323040124,19.0
370.0,12.574845232393475,19.0
380.0,12.526338528586693,19.0
390.0,12.489004354413172,19.0
400.0,12.521525216481601,19.0
410.0,12.473131933921872,19.0
420.0,12.520963006101564,19.0
430.0,12.463420732273946,19.0
440.0,12.49949580603576,19.0
450.0,12.513574021171241,19.0
460.0,12.48415632819357,19.0
470.0,12.46988059209598,19.0
480.0,12.46816641333361,19.0
490.0,12.465196371065415,19.0
500.0,12.536742033426039,19.0
510.0,12.548894562141204,19.0
520.0,12.540245506687597,19.0
530.0,12.560305892298233,19.0
540.0,12.563431970706548,19.0
550.0,12.539201349070972,19.0
560.0,12.564708624029533,19.0
570.0,12.570938882636911,19.0
580.0,12.559884985802581,19.0
590.0,12.50853761407465,19.0
600.0,12.595204312333998,19.0
610.0,12.608742286935286,19.0
620.0,12.608559609911572,19.0
630.0,12.61358408639827,19.0
640.0,12.593853830716391,19.0
650.0,12.60666925909769,19.0
660.0,12.62510128863505,19.0
670.0,12.617395890450577,19.0
680.0,12.600136599700912,19.0
690.0,12.617342893991243,19.0
700.0,12.535474872830077,19.0
710.0,12.554464590762294,19.0
720.0,12.574208703671514,19.0
730.0,12.553403113487393,19.0
740.0,12.581846555947065,19.0
750.0,12.557124250283447,19.0
760.0,12.565053143433548,19.0
770.0,12.48550192815416,19.0
780.0,12.490946676380108,19.0
790.0,12.556548803585494,19.0
800.0,12.452926097557917,19.0
810.0,12.540023154086201,19.0
820.0,12.557727982051848,19.0
830.0,12.5295746286127,19.0
840.0,12.526300313036645,19.0
850.0,12.534965271572624,19.0
860.0,12.503990944487152,19.0
870.0,12.548966875412257,19.0
880.0,12.587032509660345,19.0
890.0,12.533499468887442,19.0
900.0,12.538630255103719,19.0
910.0,12.504277657949068,19.0
920.0,12.52480574699029,19.0
930.0,12.5810637839516,19.0
940.0,12.56898342759812,19.0
950.0,12.59662272656683,19.0
960.0,12.606981608632497,19.0
970.0,12.606856816848824,19.0
980.0,12.572040347098064,19.0
990.0,12.553071357840935,19.0
1000.0,12.464145038230408,19.0
